epoch,train_accuracy,test_accuracy
0,0.008771929824561403,0.009919599039365146
1,0.008771929824561403,0.009919599039365146
2,0.008145363408521303,0.009293098047405243
5,0.011278195488721804,0.009397514879398558
10,0.017543859649122806,0.006682677247572309
20,0.02412280701754386,0.0055340920956458185
50,0.06641604010025062,0.0018795029758797118
100,0.4307644110275689,0.000626500991959904
200,1.0,0.0011485851519264906
300,1.0,0.0008353346559465386
400,1.0,0.0010441683199331733
500,1.0,0.0013574188159131252
600,1.0,0.0013574188159131252
700,1.0,0.001253001983919808
800,1.0,0.0011485851519264906
900,1.0,0.0010441683199331733
1000,1.0,0.0009397514879398559
1100,1.0,0.0008353346559465386
1200,1.0,0.000626500991959904
1300,1.0,0.0007309178239532213
1400,1.0,0.0007309178239532213
1500,1.0,0.0008353346559465386
1600,1.0,0.0009397514879398559
1700,1.0,0.001253001983919808
1800,1.0,0.0015662524798997599
1900,1.0,0.0017750861438863945
2000,0.9743107769423559,0.0020883366398663466
2100,1.0,0.0009397514879398559
2200,1.0,0.0010441683199331733
2300,1.0,0.0010441683199331733
2400,1.0,0.0011485851519264906
2500,1.0,0.001253001983919808
2600,1.0,0.0013574188159131252
2700,1.0,0.0016706693118930772
2800,1.0,0.0015662524798997599
2900,1.0,0.0014618356479064426
3000,1.0,0.0013574188159131252
3100,1.0,0.0014618356479064426
3200,1.0,0.0014618356479064426
3300,1.0,0.0015662524798997599
3400,1.0,0.001253001983919808
3500,1.0,0.0011485851519264906
3600,1.0,0.0010441683199331733
3700,1.0,0.0009397514879398559
3800,1.0,0.0011485851519264906
3900,1.0,0.0007309178239532213
4000,1.0,0.001253001983919808
4100,1.0,0.0013574188159131252
4200,1.0,0.0013574188159131252
4300,1.0,0.0015662524798997599
4400,1.0,0.0014618356479064426
4500,1.0,0.0013574188159131252
4600,1.0,0.0010441683199331733
4700,1.0,0.0007309178239532213
4800,1.0,0.0009397514879398559
4900,1.0,0.0010441683199331733
5000,1.0,0.001253001983919808
5100,1.0,0.001253001983919808
5200,1.0,0.001253001983919808
5300,0.99968671679198,0.0017750861438863945
5400,1.0,0.0014618356479064426
5500,1.0,0.0011485851519264906
5600,1.0,0.0011485851519264906
5700,1.0,0.001253001983919808
5800,1.0,0.0013574188159131252
5900,1.0,0.0014618356479064426
6000,1.0,0.0014618356479064426
6100,1.0,0.0015662524798997599
6200,1.0,0.0015662524798997599
6300,1.0,0.0014618356479064426
6400,1.0,0.0015662524798997599
6500,1.0,0.0018795029758797118
6600,1.0,0.0018795029758797118
6700,1.0,0.0018795029758797118
6800,1.0,0.0020883366398663466
6900,0.99968671679198,0.001983919807873029
7000,1.0,0.0020883366398663466
7100,1.0,0.0016706693118930772
7200,1.0,0.0016706693118930772
7300,1.0,0.0015662524798997599
7400,1.0,0.0016706693118930772
7500,1.0,0.0017750861438863945
7600,1.0,0.0017750861438863945
7700,1.0,0.0014618356479064426
7800,1.0,0.0014618356479064426
7900,1.0,0.0011485851519264906
8000,1.0,0.001253001983919808
8100,1.0,0.0013574188159131252
8200,1.0,0.0017750861438863945
8300,1.0,0.0017750861438863945
8400,1.0,0.001983919807873029
8500,1.0,0.0022971703038529813
8600,1.0,0.0018795029758797118
8700,1.0,0.0016706693118930772
8800,1.0,0.0015662524798997599
8900,1.0,0.0015662524798997599
9000,1.0,0.0013574188159131252
9100,1.0,0.0018795029758797118
9200,1.0,0.0018795029758797118
9300,1.0,0.001983919807873029
9400,1.0,0.0017750861438863945
9500,1.0,0.0018795029758797118
9600,1.0,0.0018795029758797118
9700,1.0,0.001983919807873029
9800,1.0,0.001983919807873029
9900,1.0,0.0020883366398663466
10000,1.0,0.0017750861438863945
10100,1.0,0.0020883366398663466
10200,1.0,0.0017750861438863945
10300,1.0,0.0016706693118930772
10400,1.0,0.0017750861438863945
10500,1.0,0.0017750861438863945
10600,1.0,0.0017750861438863945
10700,1.0,0.0017750861438863945
10800,1.0,0.001983919807873029
10900,1.0,0.001983919807873029
11000,1.0,0.001983919807873029
11100,1.0,0.0018795029758797118
11200,1.0,0.0018795029758797118
11300,1.0,0.001983919807873029
11400,1.0,0.0024015871358462984
11500,1.0,0.0028192544638195676
11600,1.0,0.002506003967839616
11700,1.0,0.0017750861438863945
11800,1.0,0.0021927534718596637
11900,1.0,0.001983919807873029
12000,1.0,0.001983919807873029
